DesafioTexto,ImpactoPandemia,ManterTexto,OndeTrabalhaSimples,TimeDivisao,ContratoOrig,ContratoSimples,Salario,salario2019,Escolaridade?,AnosExperienciaUX,Nivel,Lideranca,Funcao,Genero,LGBTQ,Filhos,FilhosSimples,Raca,deficiencia,deficienciaSimples,Estado,Cidade,Idade,FaixaIdade
Me acostumar a usar máscara em locais públicos e não poder frequentar certos locais,Não sei responder / não tenho visibilidade,Trabalhar de home office em tempo integral,Freelancer,,Não estou trabalhando no momento,Não estou trabalhando no momento,2000,0,Ensino médio completo / superior incompleto,Menos de 1,Trabalho de forma independente ou como freelancer,Freelancer,UI Designer,Masculino,Não,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),Hortolândia,17,
"Trabalhar remotamente sem um ambiente agradável para trabalho, sendo equipamentos e problemas pessoais.",Não sei responder / não tenho visibilidade,"Minha rotina não teve mudança, apenas trabalhei 2 meses em Home office.",Agência ou consultoria,O time é uma banda de uma pessoa só,CLT,CLT,1770,1000,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,Outro (especifique),Masculino,Não,Não,Não,Negro,Não tenho,Não,Santa Catarina (SC),Itajaí,18,18 - 23
"Começar um novo trabalho sem conhecer as pessoas pessoalmente. Por enquanto, todos os meus colegas de trabalho eu apenas conheço de forma remota.",Não sei responder / não tenho visibilidade,home office!!!!,Empresa,O time é uma banda de uma pessoa só,Estagiário,Estagiário,1070,0,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,UX Designer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Caçapava,18,18 - 23
"Lidar com a sensação de estar sempre no ambiente de trabalho, uma vez que meu quarto se tornou o escritório.",A empresa foi positivamente afetada (crescimento no período),Poder fazer mais reuniões on-line.,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,4200,1500,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,UX Designer,Masculino,Sim,Não,Não,Negro,Não tenho,Não,São Paulo (SP),São Paulo,19,18 - 23
"Moro com uma família grande, e não tenho espaço no quarto para colocar a minha escrivaninha, ou seja, sofro com os barulhos para fazer call com clientes e com o time.",A empresa foi levemente afetada (perda de receita de até 15%),"Gostei de ter um espaço organizado para trabalhar e estudar, ainda não tinha separado isso em casa, fazia trabalhos da facul no sofá, na cama .. Além disso economizei um valor significativo com transporte, e não precisamos mais enfrentar dias de chuva. A empresa decidiu que quando estiver chovendo podemos ficar em home.",Start up,Outro (Qual?),Estagiário,Estagiário,1000,1400,Ensino médio completo / superior incompleto,Menos de 1,Estagiário(a),Analista,UI Designer,Feminino,Sim,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),Santos,19,18 - 23
separar problemas do trabalho com os problemas pessoais já que todos se misturam no home office,A empresa foi gravemente afetada (perda de receita superior a 50%),home office alguns dias,Start up,O time é uma banda de uma pessoa só,CLT,CLT,1560,0,Ensino médio completo / superior incompleto,Menos de 1,Júnior,Analista,UX Designer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Uberlândia,19,18 - 23
Tive que adiar minha ida pra Europa (fui contratada pra trabalhar na Alemanha),A empresa foi positivamente afetada (crescimento no período),Home office integral,Start up,É distribuído em diferentes squads / grupos / equipes,Outro (especifique),Outro,31604,6800,Ensino médio completo / superior incompleto,De 6 a 10,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Outro (especifique),Sim,Não moro no Brasil,São Paulo,20,18 - 23
Aprender a organizar melhor meus horários e afazeres,A empresa foi positivamente afetada (crescimento no período),quero continuar podendo escolher meus horários de trabalho,Agência ou consultoria,Equipe que atende a outras áreas,Estagiário,Estagiário,1800,500,Ensino médio completo / superior incompleto,Menos de 1,Estagiário(a),Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,20,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,2228,0,Ensino médio completo / superior incompleto,Menos de 1,Estagiário(a),Analista,UI Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Paraíba (PB),João Pessoa,20,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4800,0,Ensino médio completo / superior incompleto,Menos de 1,Júnior,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,20,18 - 23
